"","year","Country","sdg1_wpc","sdg1_lmicpov","sdg2_undernsh","sdg2_stunting","sdg2_obesity","sdg2_trophic","sdg2_crlyld","sdg2_snmi","sdg3_matmort","sdg3_neonat","sdg3_u5mort","sdg3_tb","sdg3_hiv","sdg3_ncds","sdg3_pollmort","sdg3_traffic","sdg3_lifee","sdg3_fertility","sdg3_births","sdg3_vac","sdg3_uhc","sdg3_swb","sdg4_earlyedu","sdg4_primary","sdg4_second","sdg4_literacy","sdg5_edat","sdg5_lfpr","sdg5_parl","sdg6_water","sdg6_sanita","sdg6_freshwat","sdg6_scarcew","sdg6_safewat","sdg6_safesan","sdg7_elecac","sdg7_cleanfuel","sdg7_co2twh","sdg7_renewcon","sdg8_accounts","sdg8_unemp","sdg8_impacc","sdg9_roads","sdg9_intuse","sdg9_mobuse","sdg9_articles","sdg9_rdex","sdg11_slums","sdg11_pm25","sdg11_pipedwat","sdg11_transport","sdg12_ewaste","sdg12_pollprod","sdg12_pollimp","sdg12_nprod","sdg12_nimport","sdg13_co2gcp","sdg13_ghgimport","sdg14_cpma","sdg14_fishstocks","sdg14_trawl","sdg14_discard","sdg15_cpta","sdg15_cpfa","sdg15_redlist","sdg16_homicides","sdg16_detain","sdg16_u5reg","sdg16_cpi","sdg16_clabor","sdg16_rsf","sdg16_justice","sdg16_prison","sdg17_govex","sdg17_statperf","SDG Index Score"
"1",2023,0,7.78443113772455,7.78443113772455,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.8023952095808,94.6107784431138,100,100,19.7604790419162,95.8083832335329,92.2155688622755,100,99.4011976047904,100,0.598802395209581,3.59281437125748,100,100,100,8.38323353293413,100,100,100,100,100,100,100,0.598802395209581,100,0,93.4131736526946,100,100,100,100,100,100,100,100,9.58083832335329,8.38323353293413,8.38323353293413,8.38323353293413,100,100,27.5449101796407,100,100,100,0,8.38323353293413,0,100,98.8023952095808,85.0299401197605,1.19760479041916,100,1.79640718562874,100,100,100,100,0
"2",2024,0,7.78443113772455,7.78443113772455,5.98802395209581,17.3652694610778,0,1.79640718562874,1.19760479041916,0,0,0.598802395209581,0.598802395209581,0,22.1556886227545,0,0,0,0,0,3.59281437125748,0,0,4.79041916167665,9.58083832335329,3.59281437125748,2.9940119760479,19.7604790419162,0,0,0,0,0,1.19760479041916,8.38323353293413,77.8443113772455,77.8443113772455,0,1.19760479041916,0.598802395209581,0,6.58682634730539,0,8.38323353293413,0,0,0,0,17.9640718562874,37.125748502994,0,8.38323353293413,23.3532934131737,4.79041916167665,9.58083832335329,8.38323353293413,8.38323353293413,8.38323353293413,0,8.98203592814371,27.5449101796407,40.7185628742515,25.1497005988024,23.9520958083832,0,8.38323353293413,0,11.9760479041916,10.1796407185629,4.19161676646707,0.598802395209581,28.7425149700599,1.79640718562874,19.7604790419162,77.2455089820359,2.9940119760479,1.19760479041916,0
